term,Estimate,Std. Error,t value,CI_lower,CI_upper,type,threshold,level,header
leftright,0.0405474411460206,0.010215229105711795,3.9693129470144437,0.020525592098825485,0.06056929019321572,Political News,10,(A) Country: France,(A) Country
leftright,0.13508027361751884,0.011142787925060295,12.122663962195789,0.11324040928440066,0.15692013795063703,Political News,10,(A) Country: Italy,(A) Country
leftright,0.1018102318428321,0.016683315575195444,6.102517894836344,0.06911093331544903,0.13450953037021518,Political News,10,(A) Country: United Kingdom,(A) Country
leftright,0.24447580862767293,0.011328857307920947,21.579917725394914,0.22227124830414788,0.266680368951198,Political News,10,(A) Country: USA,(A) Country
leftright,0.07628019870392957,0.020137568032512473,3.787954860327414,0.036810565360205126,0.11574983204765402,Political News,30,(A) Country: Germany,(A) Country
leftright,0.1772154836052569,0.011079682791183874,15.994635130372831,0.15549930533453651,0.1989316618759773,Political News,30,(A) Country: Spain,(A) Country
leftright,0.04542455034838797,0.011258354514019218,4.034741515007727,0.023358175500910305,0.06749092519586564,Political News,30,(A) Country: France,(A) Country
leftright,0.15872078984310145,0.012063427350816813,13.157188685050977,0.1350764722355005,0.1823651074507024,Political News,30,(A) Country: Italy,(A) Country
leftright,0.112451791306107,0.017846902872542928,6.300913503547533,0.07747186167592285,0.14743172093629114,Political News,30,(A) Country: United Kingdom,(A) Country
leftright,0.27600949034202144,0.012073491865491047,22.860784056261565,0.25234544628565897,0.2996735343983839,Political News,30,(A) Country: USA,(A) Country
leftright,0.08296646792307034,0.021696624923660396,3.823934285400977,0.04044108307269597,0.1254918527734447,Political News,60,(A) Country: Germany,(A) Country
leftright,0.18400328824851178,0.01214904777012917,15.145490554487749,0.1601911546190586,0.20781542187796495,Political News,60,(A) Country: Spain,(A) Country
leftright,0.05198961198649854,0.01244998075662152,4.175878903174037,0.027587649703520362,0.07639157426947672,Political News,60,(A) Country: France,(A) Country
leftright,0.16286350414477105,0.01333126166755962,12.216660973738456,0.1367342312763542,0.1889927770131879,Political News,60,(A) Country: Italy,(A) Country
leftright,0.11668927642640775,0.019297298982000773,6.046922760291359,0.07886657042168624,0.15451198243112926,Political News,60,(A) Country: United Kingdom,(A) Country
leftright,0.2901796888265895,0.013254224403031036,21.893373765441147,0.2642014089966487,0.31615796865653034,Political News,60,(A) Country: USA,(A) Country
leftright,0.13290478022705976,0.025377915319992134,5.237025128000189,0.08316406619987518,0.18264549425424434,Political News,120,(A) Country: Germany,(A) Country
leftright,0.20874628851427882,0.014566087906161752,14.330978218659169,0.18019675621820178,0.23729582081035586,Political News,120,(A) Country: Spain,(A) Country
leftright,0.0785832541669128,0.015033083063531663,5.227354484426798,0.04911841136239073,0.10804809697143486,Political News,120,(A) Country: France,(A) Country
leftright,0.17008245961178076,0.016649303265156245,10.215590220386597,0.13744982521207452,0.202715094011487,Political News,120,(A) Country: Italy,(A) Country
leftright,0.12546400666987054,0.02243710533643345,5.591808960585555,0.08148728021046098,0.1694407331292801,Political News,120,(A) Country: United Kingdom,(A) Country
leftright,0.3372588312192184,0.016066861254001644,20.990959334712624,0.3057677831613752,0.3687498792770616,Political News,120,(A) Country: USA,(A) Country
leftright,0.0761109897235089,0.003031070113634708,25.11027025773429,0.07017009230078487,0.08205188714623292,Non-Political News,3,(B) Access: Direct,(B) Access
leftright,0.08229201717552835,0.004483466634706163,18.354551038366676,0.07350442257150427,0.09107961177955243,Non-Political News,3,(B) Access: Facebook,(B) Access
leftright,0.006119120456703177,0.010897379334937691,0.5615222035159304,-0.015239743039774697,0.027477983953181052,Non-Political News,3,(B) Access: Twitter,(B) Access
leftright,0.11492785464172084,0.0037910013235705692,30.315962679083317,0.10749749204752253,0.12235821723591915,Non-Political News,3,(B) Access: Search engines,(B) Access
leftright,0.02777892580070839,0.0034579292906264402,8.033399027565409,0.02100138439108057,0.034556467210336214,Non-Political News,3,(B) Access: Portals,(B) Access
leftright,0.07811959749747371,0.0030665160625818425,25.47503287222347,0.0721092260148133,0.08412996898013413,Non-Political News,10,(B) Access: Direct,(B) Access
leftright,0.0751262445466293,0.004827702204231649,15.561491029993222,0.06566394822633527,0.08458854086692334,Non-Political News,10,(B) Access: Facebook,(B) Access
leftright,0.02629382582761642,0.01224255699387879,2.147739711627496,0.002298414119613991,0.05028923753561885,Non-Political News,10,(B) Access: Twitter,(B) Access
leftright,0.11468966765207048,0.003970194904430657,28.887666830683585,0.10690808563938639,0.12247124966475456,Non-Political News,10,(B) Access: Search engines,(B) Access
leftright,0.02781093553772623,0.0035587732900170858,7.814753363396382,0.020835739889292743,0.03478613118615972,Non-Political News,10,(B) Access: Portals,(B) Access
leftright,0.08352902584962889,0.0031968319388270224,26.128688479093853,0.07726323524952793,0.08979481644972985,Non-Political News,30,(B) Access: Direct,(B) Access
leftright,0.08260655455483086,0.005608345227468915,14.72922068888255,0.07161419790899179,0.09359891120066993,Non-Political News,30,(B) Access: Facebook,(B) Access
leftright,0.033378343804593286,0.014771303921837167,2.2596748385393646,0.004426588117792438,0.062330099491394134,Non-Political News,30,(B) Access: Twitter,(B) Access
leftright,0.12257474954885256,0.004428033883902675,27.681529266171864,0.11389580313640332,0.1312536959613018,Non-Political News,30,(B) Access: Search engines,(B) Access
leftright,0.028359109224939887,0.0038326368327134663,7.399372928549021,0.02084714103282149,0.03587107741705828,Non-Political News,30,(B) Access: Portals,(B) Access
leftright,0.0891502973373713,0.0034003827126020936,26.21772455405478,0.0824855472206712,0.0958150474540714,Non-Political News,60,(B) Access: Direct,(B) Access
leftright,0.10411851709092695,0.006799761442365178,15.31208380962129,0.09079098466389121,0.1174460495179627,Non-Political News,60,(B) Access: Facebook,(B) Access
leftright,0.05192358015675974,0.019463793771554858,2.667700899741492,0.013774544364512219,0.09007261594900726,Non-Political News,60,(B) Access: Twitter,(B) Access
leftright,0.12812049203939063,0.005126923132465546,24.989743112800927,0.11807172269975816,0.1381692613790231,Non-Political News,60,(B) Access: Search engines,(B) Access
leftright,0.03162361578272154,0.004308293142826643,7.340172716746356,0.02317936122278132,0.040067870342661766,Non-Political News,60,(B) Access: Portals,(B) Access
leftright,0.10073327662025855,0.0038775241321308274,25.978762010928424,0.09313332932128213,0.10833322391923497,Non-Political News,120,(B) Access: Direct,(B) Access
leftright,0.116543170858192,0.009528673140438237,12.230786924949765,0.09786697150293305,0.13521937021345096,Non-Political News,120,(B) Access: Facebook,(B) Access
leftright,0.06341201156985586,0.028289489931423273,2.2415395867360393,0.007964611304266248,0.11885941183544547,Non-Political News,120,(B) Access: Twitter,(B) Access
leftright,0.1572045665460219,0.006775247472562701,23.20277852324118,0.14392508149979902,0.1704840515922448,Non-Political News,120,(B) Access: Search engines,(B) Access
